lokasi,nama_komoditas,2014-10-01,2014-10-02,2014-10-03,2014-10-04,2014-10-05,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-11,2014-10-12,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-18,2014-10-19,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-25,2014-10-26,2014-10-27,2014-10-28,2014-10-29,2014-10-30,2014-10-31
"Pasar Baru","Beras Medium",9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000
"Pasar Baru","Cabe Merah",35000,35000,35000,50000,50000,0,0,60000,60000,60000,60000,60000,0,0,50000,50000,50000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000
"Pasar Baru","Bawang Merah",18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000
"Pasar Baru","Daging Ayam Ras",30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000
"Pasar Baru","Telur Ayam Ras",18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18000,0,0,17500,17500,17500
"Pasar Baru","Daging Sapi",100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000
"Pasar Baru","Minyak Goreng",14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000
"Pasar Baru","Gula Pasir",11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Baru",Kentang,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Baru",Kedelai,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,11000,11000,11000
"Pasar Baru","Tepung Terigu",7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Baru","Bawang Putih",16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000
"Pasar Baru","Cabe Keriting",25000,25000,25000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,30000,30000,30000
"Pasar Baru","Cabe Rawit",20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000
"Pasar Baru","Kacang Tanah",20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000
"Pasar Baru","Ubi Kayu",3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Baru","Ikan Olahan",50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000
"Pasar Baru","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng Curah",11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500
"Pasar Baru","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Telur Ayam Kampung",45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000
"Pasar Baru","Susu Kental Manis Merk Bendera",11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Baru","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Garam Beryodium Bata",1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000
"Pasar Baru","Garam Beryodium Halus",3500,3500,3500,3500,3500,0,0,3500,3500,3500,3500,3500,0,0,3500,3500,3500,3500,3500,0,0,3500,3500,3500,3500,3500,0,0,3500,3500,3500
"Pasar Baru","Tepung Terigu Cakra Kembar",7200,7200,7200,7200,7200,0,0,7200,7200,7500,7200,7200,0,0,7200,7200,7200,7200,7200,0,0,7200,7200,7200,7200,7200,0,0,7200,7200,7200
"Pasar Baru","Tepung Terigu Kunci",8200,8200,8200,8200,8200,0,0,8200,8200,7000,8200,8200,0,0,8200,8200,8200,8200,8200,0,0,8200,8200,8200,8200,8200,0,0,8200,8200,8200
"Pasar Baru","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Cabe Rawit Hijau",20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000
"Pasar Baru","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Susu Bubuk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ikan Kembung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
