kecamatan,tahun,total_usulan,usulan_diakomodir,dana_diakomodir,usulan_tdk_diakomodir,dana_tdk_diakomodir,total_dana_usulan
Sukasari,2016,71,29,1636500000,42,2512250000,4148750000
Coblong,2016,70,28,2526600000,42,6819950000,9346550000
Babakan Ciparay,2016,23,17,1762350000,6,580750000,2343100000
Bojongloa Kaler,2016,102,64,23080000000,38,9166118000,32246118000
Andir,2016,87,53,8378000000,34,4208900000,12586900000
Cicendo,2016,176,71,9691500000,105,16656903000,26348403000
Sukajadi,2016,240,114,30426373750,126,18641000000,49067373750
Cidadap,2016,307,145,13580203750,162,12698860000,26279063750
Bandung Wetan,2016,80,29,2476865000,51,6994530000,9471395000
Astana Anyar,2016,273,77,9441325000,196,25582575000,35023900000
Regol,2016,145,44,4568850000,101,9253900000,13822750000
Batununggal,2016,363,115,16303100000,248,26016300000,42319400000
Lengkong,2016,201,56,3501500000,145,22006950000,25508450000
Cibeunying Kidul,2016,173,44,13585260000,129,114671850000,128257110000
Bandung Kulon,2016,122,70,9964700000,52,10697000000,20661700000
Kiaracondong,2016,392,119,20401450000,273,37102281000,57503731000
Bojongloa Kidul,2016,166,71,6470085000,95,53039434000,59509519000
Cibeunying Kaler,2016,74,29,8406000000,45,29369304000,37775304000
Sumur Bandung,2016,41,19,1440950000,22,8119195700,9560145700
Antapani,2016,174,126,39351659000,48,92750500000,132102159000
Bandung Kidul,2016,64,25,5020500000,39,8365600000,13386100000
Buah Batu,2016,154,51,49312644000,103,23431753000,72744397000
Rancasari,2016,406,116,16623135000,290,22208090000,38831225000
Arcamanik,2016,155,34,3327700000,121,39149491150,42477191150
Cibiru,2016,1397,167,107206616500,1230,62167531000,169374147500
Ujung Berung,2016,314,79,65004500000,235,19042425000,84046925000
Gedebage,2016,140,57,4202080000,83,4463430000,8665510000
Panyileukan,2016,237,58,23789000000,179,62850500000,86639500000
Cinambo,2016,41,5,2579900000,36,207076500000,209656400000
Mandalajati,2016,126,27,6068500000,99,33345950000,39414450000
