NAMA PUSKESMAS,KODE PUSKESMAS,ALAMAT,TELEPON,JENIS PUSKESMAS
UPT CIBUNTU,P3273010201,"Jl. Syahbandar I Kel Cari, Kec. Bandungkulon",6021597,Non Perawatan
CIJERAH,P3273010202,"Jl. Mekar Hegar No. 1, Kec. Bandung Kulon",6022029,Non Perawatan
CIGONDEWAH,P3273010203,"Jl. Cigondewah Kaler No. 17, Kec. Bandung Kulon",6022908,Non Perawatan
UPT CARINGIN,P3273010204,"Jl. Caringin Babakan Ciparay No. 103, Kec. Bandung Kulon",5432275,Non Perawatan
SUKAHAJI,P3273020201,"Jl. H. Zakaria Blk No. 24, Kec. Babakan Ciparay",6026075,Non Perawatan
CIBOLERANG,P3273020202,"Jl. Cibolerang No. 187, Kec. Babakan Ciparay",5423822,Non Perawatan
SUKA PARKIR,P3273030201,"Jl. Pagarsih Gg.Bp.Oyon, Kec. Bojong Loa Kaler",70722593,Non Perawatan
UPT CETARIP,P3273030202,"Jl. Kopo Gg Citarip No.11, Kec. Bojong Loa Kaler",5422571,Non Perawatan
UPT KOPO,P3273040201,"Jl. Kopo No. 369, Kec. Bojong Loa Kidul",70722596,Non Perawatan
UPT PAGARSIH,P3273050201,"Jl. Pagarsih 95, Kec. Astana Anyar",6013212,Non Perawatan
LIO GENTENG,P3273050202,"Jl. Lio Genteng, Kec. Astana Anyar",5232166,Non Perawatan
PELINDUNG HEWAN,P3273050203,"Jl. Palindungan, Kec. Astana Anyar",5227028,Non Perawatan
ASTANA ANYAR,P3273050204,"Jl. Astana Anyar, Kec. Astana Anyar",,Non Perawatan
UPT PASUNDAN,P3273060201,"Jl. Pasundan 99, Kec. Regol",4236286,Non Perawatan
MOCH. RAMDAN,P3273060202,"Jl. Moch. Ramdan 108, Kec. Regol",5210562,Non Perawatan
PASIR LUYU,P3273060203,"Jl. Sukaati Bypass No. 1, Kec. Regol",7271861,Non Perawatan
UPT TALAGA BODAS,P3273070201,"Jl. Talaga Bodas 35, Kec. Lengkong",7310550,Non Perawatan
SURYALAYA,P3273070202,"Jl. Suryalaya VII No. 1, Kec. Lengkong",7314952,Non Perawatan
CIJAGRA LAMA,P3273070203,"Jl. Buah Batu No. 375, Kec. Lengkong",7302748,Non Perawatan
CIJAGRA BARU,P3273070204,"Jl. Cijagra I/28, Kec. Lengkong",7303420,Non Perawatan
PASAWAHAN,P3273080201,"Jl. Naradireja, Kec. Bandung Kidul",5232621,Non Perawatan
MENGGER,P3273080202,"Jl. Mengger No. 32, Kec. Bandung Kidul",5210994,Non Perawatan
UPT KUJANG SARI,P3273080203,"Jl. Ters Buah Batu, Kec. Bandung Kidul",7530456,Non Perawatan
UPT MARGAHAYU RAYA,P3273090201,"Jl. Pluto Raya No. 54, Kec. Buah Batu",7505457,Non Perawatan
SEKEJATI,P3273090202,"Jl. Yupiter B2, Kec. Buah Batu",7506501,Non Perawatan
DERWATI,P3273100201,"Jl. Derwati No. 38, Kec. Rancasari",70722584,Non Perawatan
UPT CIPAMOKOLAN,P3273100202,"Jl. Kali Cipamokolan, Kec. Rancasari",7534828,Non Perawatan
UPT RIUNG BANDUNG,P3273100203,"Jl. Riung Puma XI, Kec. Rancasari",,Non Perawatan
CEMPAKA ARUM,P3273101201,Jl. Usman bin Affan Belakang Polda Kec. Gedebage,,Non Perawatan
CILENGKRANG,P3273110201,"Jl. Cilengkrang I No. 130, Kec. Cibiru",70782329,Non Perawatan
UPT CIBIRU,P3273110202,"Jl. AH Nasution No. 47A, Kec. Cibiru",7016601,Non Perawatan
CIPADUNG,P3273110203,"Jl. Cigagak, Kec. Cibiru",6070570,Non Perawatan
PANYILEUKAN,P3273110204,"Jl. Raya Panyileukan Blok C No. 2, Kec. Cibiru",7801099,Non Perawatan
UPT PANGHEGAR,P3273111201,"Jl. Teratai Mekar, Kec. Panyileukan",70782328,Non Perawatan
UPT CINAMBO,P3273120201,"Jl. Gede Bage No. 19a, Kec. Ujung Berung",7505457,Non Perawatan
UPT UJUNG BERUNG INDAH,P3273120202,"Komplek Ujung Berung Indah, Kec. Ujung Berung",,Non Perawatan
UPT ARCAMANIK,P3273130201,"Jl. Olah Raga No. 7, Kec. Arcamanik",70782327,Non Perawatan
UPT SINDANG JAYA,P3273130202,"Jl. Arcamanik No. 30, Kec. Arcamanik",70722585,Non Perawatan
RUSUNAWA,P3273130203,Cingised RT 2 RW 6 Kel. Cisaranten Kulon Kec. Arcamanik,,Non Perawatan
UPT GRIYA ANTAPANI,P3273141201,"Jl. Plered No. 2, Kec. Antapani",7232881,Non Perawatan
ANTAPANI,P3273141202,"Jl. Majalaya II, Kec. Antapani",7214004,Non Perawatan
JAJAWAY,P3273141203,"Jl. Komplek Pratista VIII, Kec. Antapani",7106601,Non Perawatan
MANDALA MEKAR,P3273142201,"Jl. Mandala Jati VII No. 123, Kec. Mandalajati",7236071,Non Perawatan
PAMULANG,P3273142202,"Jl. Raya Cikadut, Kec. Mandalajati",,Non Perawatan
GIRIMANDE,P3273142203,"JL. Cikadut, Kec. Mandalajati",,Non Perawatan
UPT BABAKANSARI,P3273150201,"Jl. Babakansari No. 183 , Kec. Kiaracondong",7270793,Non Perawatan
BABAKAN SURABAYA,P3273150202,"Jl. Atlas, Kec. Kiaracondong",7210377,Non Perawatan
AHMAD YANI,P3273160201,"Jl. Cianjur No. 34, Kec. Batununggal",7231407,Non Perawatan
GUMURUH,P3273160202,"Jl. Rancah Goong 11, Kec. Batununggal",7330610,Non Perawatan
UPT IBRAHIM ADJIE,P3273160203,Jl. Ibrahim Aji 88. Kec. Batununggal,7208355,Non Perawatan
UPT TAMBLONG,P3273170201,"Jl. Tamblong 66, Kec. Sumur Bandung",4264415,Non Perawatan
BALAI KOTA,P3273170202,"Jl. Wastukancana No. 2, Kec. Sumur Bandung",4232338,Non Perawatan
BABATAN,P3273180201,"Jl. Babatan, Kec. Andir",4263746,Non Perawatan
UPT GARUDA,P3273180202,"Jl. Dadali No. 81, Kec. Andir",6013885,Non Perawatan
UPT PASIR KALIKI,P3273190201,"Jl. Pasir Kalilki No. 188, Kec. Cicendo",4206531,Non Perawatan
UPT SALAM,P3273200201,"Jl. Salam, Kec. Bandung Wetan",7234610,Non Perawatan
TAMAN SARI,P3273200202,"Jl. Kebon Bibit Utara II, Kec. Bandung Wetan",,Non Perawatan
UPT PADASUKA,P3273210201,"Jl. Padasuka No. 3, Kec. Cibeunying Kidul",7202580,Non Perawatan
PASIRLAYUNG,P3273210202,"Jl. Padasuka No. 146, Kec. Cibeunying Kidul",7202580,Non Perawatan
JATIHANDAP,P3273210203,"Jl. Jatihandap No. 6, Kec. Cibeunying Kidul",2038891,Non Perawatan
CIKUTRA LAMA,P3273220201,"Jl. Cikutra Barat No. 118, Kec. Cibeunying Kaler",2531883,Non Perawatan
UPT NEGLASARI,P3273220202,"Jl. Cikutra Timur, Kec. Cibeunying Kaler",70722595,Non Perawatan
DAGO,P3273230201,"Jl. Ir.H. Juanda No.360, Kec. Coblong",2533539,Non Perawatan
UPT PUTER,P3273230202,"Jl. Puter No. 3, Kec. Coblong",2500334/2509292,Non Perawatan
SEKELOA,P3273230203,"Jl. TB Ismail Bawah No. 4, Kec. Coblong",2511299,Non Perawatan
SUKA WARNA,P3273240201,"Jl. Cibogo No. 76, Kec. Sukajadi",2009464,Non Perawatan
UPT SUKA JADI,P3273240202,"Jl. Sukagalih, Kec. Sukajadi",70722590,Non Perawatan
KARANG SETRA,P3273240203,"Jl. Ir Sutami No. 40, Kec. Sukajadi",2013079,Non Perawatan
LEDENG,P3273250201,"Jl. Sersan Bajuri No. 2, Kec. Sukasari",71173669,Non Perawatan
UPT SUKA RASA,P3273250202,"Jl. Geger Kalong Hilir No. 157, Kec. Sukasari",70722632,Non Perawatan
SARIJADI,P3273250203,"Jl. Sari Asih No. 76, Kec. Sukasari",70722591,Non Perawatan
CIPAKU,P3273260201,"Jl. Cipaku Indah IV, Kec. Cidadap",70722586,Non Perawatan
UPT CIUMBULEUIT,P3273260202,"Jl. Bukit Resik, Kec. Cidadap",2032459,Non Perawatan
