skpd,tahun,total_usulan,usulan_diakomodir,dana_diakomodir,usulan_tdk_diakomodir,dana_tdk_diakomodir,total_dana_usulan
Dinas Kesehatan,2014,280,195,15756932315,85,24735200603,40492132918
Dinas Bina Marga dan Pengairan,2014,1519,220,272389285000,1299,714243590349,986632875349
Dinas Pencegahan dan Penanggulangan Kebakaran,2014,16,11,215000020,5,215000000,430000020
Dinas Pemakaman dan Pertamanan,2014,80,62,3037330000,18,1532500000,4569830000
Dinas Tata Ruang dan Cipta Karya,2014,257,58,7345531200,199,17339720000,24685251200
Dinas Perhubungan,2014,23,15,252500000,8,366000000,618500000
Badan Pengelola Lingkungan Hidup,2014,120,57,1831150000,63,8736600000,10567750000
Dinas Pemuda dan Olahraga,2014,71,26,1208055000,45,2794400000,4002455000
Dinas Kependudukan dan Pencatatan Sipil,2014,12,10,185000000,2,0,185000000
Badan Pemberdayaan Perempuan dan KB,2014,39,38,402275000,1,16000000,418275000
Dinas Sosial,2014,70,50,1717440000,20,742440000,2459880000
Dinas Tenaga Kerja,2014,100,38,2438000015,62,2772750015,5210750030
Dinas Koperasi  Usaha Kecil Menengah dan  Perindustrian Perdagangan,2014,110,75,4789500000,35,4586300000,9375800000
Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,2014,13,4,140000000,9,571000000,711000000
Kantor Satuan Polisi Pamong Praja,2014,43,39,1176900000,4,410000000,1586900000
Dinas Kebudayaan dan Pariwisata,2014,79,72,1589000000,7,217400000,1806400000
Kantor Perpustakaan dan Arsip Daerah,2014,4,1,200000000,3,75000000,275000000
Dinas Komunikasi dan Informatika,2014,8,6,471000000,2,225000000,696000000
Dinas Pertanian dan Ketahanan Pangan,2014,80,58,1234500000,22,709340000,1943840000
Dinas Pendidikan,2014,170,35,14104000000,135,11837580000,25941580000
Dinas Pengelolaan Keuangan dan Aset Daerah,2014,113,14,14150000000,99,49367350000,63517350000
SETDA Bag. Pemerintahan Umum,2014,39,24,26090000000,15,119391500000,145481500000
SETDA Bag. Hukum dan HAM,2014,4,3,45000000,1,15000000,60000000
